student_id;path;Przedmiot1;Przedmiot10;Przedmiot11;Przedmiot12;Przedmiot13;Przedmiot14;Przedmiot15;Przedmiot16;Przedmiot3;Przedmiot4;Przedmiot5;Przedmiot6;Przedmiot7;Przedmiot8;Przedmiot9
student_53;B;1;;;1;;1;;;1;;;1;1;;
student_54;C;1;;1;;;;1;;1;;;;;1;1
student_55;B;1;;;;;1;1;;1;;;1;1;;
student_56;A;1;;1;;1;;;;1;1;1;;;;
student_57;C;1;;1;;;;1;;1;;;;;1;1
student_58;A;1;;;;1;1;;;1;1;1;;;;
student_59;A;1;;;;;;1;1;1;1;1;;;;
student_60;A;1;;;;;1;1;;1;1;1;;;;
student_61;A;1;1;;1;;;;;1;1;1;;;;
student_62;A;1;1;;;;;;1;1;1;1;;;;
student_63;B;1;;;;;;1;1;1;;;1;1;;
student_64;C;1;;;;1;1;;;1;;;;;1;1
student_65;B;1;;1;1;;;;;1;;;1;1;;
student_66;B;1;;;;;1;1;;1;;;1;1;;
student_67;C;1;;1;;;1;;;1;;;;;1;1
student_68;C;1;;;;1;;;1;1;;;;;1;1
student_69;C;1;;;;;1;;1;1;;;;;1;1
student_70;C;1;;;;1;;1;;1;;;;;1;1
student_71;A;1;;;;1;1;;;1;1;1;;;;
student_72;B;1;;;;1;;;1;1;;;1;1;;
student_73;A;1;1;;;;1;;;1;1;1;;;;
student_74;B;1;;;;1;;;1;1;;;1;1;;
student_75;B;1;;;1;;1;;;1;;;1;1;;
student_76;C;1;;;1;;;;1;1;;;;;1;1
student_77;A;1;;;1;;;;1;1;1;1;;;;
student_78;B;1;1;;;;;;1;1;;;1;1;;
student_79;B;1;1;1;;;;;;1;;;1;1;;
student_80;B;1;;;;;1;;1;1;;;1;1;;
student_81;A;1;;1;;;1;;;1;1;1;;;;
student_82;A;1;1;;;1;;;;1;1;1;;;;
student_83;B;1;1;;;;1;;;1;;;1;1;;
student_84;B;1;;;;;1;;1;1;;;1;1;;
student_85;B;1;;1;;;;1;;1;;;1;1;;
student_86;B;1;1;;1;;;;;1;;;1;1;;
student_87;C;1;;;;;1;1;;1;;;;;1;1
student_88;A;1;;;;1;;1;;1;1;1;;;;
student_89;B;1;;1;1;;;;;1;;;1;1;;
student_90;A;1;1;;;;1;;;1;1;1;;;;
student_91;B;1;1;;;;;;1;1;;;1;1;;
student_92;B;1;1;;;;1;;;1;;;1;1;;
student_93;A;1;1;;;;;;1;1;1;1;;;;
student_94;B;1;;;;1;;1;;1;;;1;1;;
student_95;A;1;1;;;;;1;;1;1;1;;;;
student_96;B;1;;;;;;1;1;1;;;1;1;;
student_97;A;1;1;1;;;;;;1;1;1;;;;
student_98;A;1;;1;;;;1;;1;1;1;;;;
student_99;C;1;1;;;;;1;;1;;;;;1;1
student_100;A;1;1;1;;;;;;1;1;1;;;;
student_101;A;1;;;;1;1;;;1;1;1;;;;
student_102;A;1;;;;;1;1;;1;1;1;;;;
student_103;B;1;;1;;;1;;;1;;;1;1;;
student_104;A;1;1;;;;;1;;1;1;1;;;;
student_105;A;1;1;;;;;1;;1;1;1;;;;
student_106;A;1;;1;1;;;;;1;1;1;;;;
student_107;A;1;;;;;1;;1;1;1;1;;;;
student_108;B;1;1;;;1;;;;1;;;1;1;;
student_109;A;1;;;;;1;;1;1;1;1;;;;
student_110;B;1;;;;;;1;1;1;;;1;1;;
student_111;B;1;;;1;1;;;;1;;;1;1;;
student_112;C;1;;;1;;1;;;1;;;;;1;1
student_113;B;1;1;;1;;;;;1;;;1;1;;
student_114;B;1;1;;1;;;;;1;;;1;1;;
student_115;B;1;;;1;;;1;;1;;;1;1;;
student_116;B;1;;;1;;1;;;1;;;1;1;;
student_117;C;1;;;;1;;;1;1;;;;;1;1
student_118;B;1;;;1;1;;;;1;;;1;1;;
student_119;A;1;;;1;;1;;;1;1;1;;;;
student_120;A;1;1;;;;;;1;1;1;1;;;;
student_121;A;1;;1;;;;;1;1;1;1;;;;
student_122;B;1;1;1;;;;;;1;;;1;1;;
student_123;C;1;;;;1;1;;;1;;;;;1;1
student_124;B;1;;;;1;;1;;1;;;1;1;;
student_125;B;1;;;1;;;1;;1;;;1;1;;
student_126;B;1;;1;;1;;;;1;;;1;1;;
student_127;C;1;;1;;;;1;;1;;;;;1;1
student_128;A;1;1;;;;;1;;1;1;1;;;;
student_129;B;1;;1;;;1;;;1;;;1;1;;
student_130;A;1;;;;;1;1;;1;1;1;;;;
student_131;A;1;;;;;1;1;;1;1;1;;;;
student_132;B;1;1;1;;;;;;1;;;1;1;;
student_133;B;1;1;1;;;;;;1;;;1;1;;
student_134;A;1;;1;;1;;;;1;1;1;;;;
student_135;B;1;1;;;1;;;;1;;;1;1;;
student_136;B;1;;;;1;;;1;1;;;1;1;;
student_137;A;1;;1;;;1;;;1;1;1;;;;
student_138;C;1;;;;1;1;;;1;;;;;1;1
student_139;A;1;1;;;;;;1;1;1;1;;;;
student_140;B;1;1;;;;;;1;1;;;1;1;;
student_141;A;1;;;;1;;1;;1;1;1;;;;
student_142;B;1;;1;;;1;;;1;;;1;1;;
student_143;B;1;1;1;;;;;;1;;;1;1;;
student_144;B;1;;1;1;;;;;1;;;1;1;;
student_145;B;1;;;;;1;1;;1;;;1;1;;
student_146;A;1;;;;;1;1;;1;1;1;;;;
student_147;A;1;1;;1;;;;;1;1;1;;;;
student_148;A;1;1;;;;1;;;1;1;1;;;;
student_149;A;1;;;1;;;;1;1;1;1;;;;
student_150;A;1;1;;;1;;;;1;1;1;;;;
student_151;A;1;;1;;;;;1;1;1;1;;;;
student_152;A;1;;1;1;;;;;1;1;1;;;;
student_153;A;1;;;;1;;;1;1;1;1;;;;
student_154;B;1;1;;1;;;;;1;;;1;1;;
student_155;C;1;;;;;1;1;;1;;;;;1;1
student_156;C;1;;1;;;;1;;1;;;;;1;1
student_157;A;1;1;;;;1;;;1;1;1;;;;
student_158;B;1;1;;1;;;;;1;;;1;1;;
student_159;A;1;;;1;;;;1;1;1;1;;;;
student_160;B;1;;1;;;1;;;1;;;1;1;;
student_161;B;1;;1;;1;;;;1;;;1;1;;
student_162;B;1;;;;;1;1;;1;;;1;1;;
student_163;C;1;;1;;;;1;;1;;;;;1;1
student_164;A;1;;;;;1;;1;1;1;1;;;;
student_165;A;1;;1;;;1;;;1;1;1;;;;
student_166;B;1;;1;;;;1;;1;;;1;1;;
student_167;A;1;;1;;;;;1;1;1;1;;;;
student_168;B;1;;1;;;;;1;1;;;1;1;;
student_169;C;1;;;1;1;;;;1;;;;;1;1
student_170;C;1;;;;1;;1;;1;;;;;1;1
student_171;A;1;;;1;;;1;;1;1;1;;;;
student_172;B;1;;1;;;;;1;1;;;1;1;;
student_173;B;1;;;1;1;;;;1;;;1;1;;
student_174;C;1;;;1;;;1;;1;;;;;1;1
student_175;A;1;;1;;;1;;;1;1;1;;;;
student_176;A;1;;1;;1;;;;1;1;1;;;;
student_177;A;1;;;1;;;;1;1;1;1;;;;
student_178;B;1;1;;;1;;;;1;;;1;1;;
student_179;B;1;;1;;;1;;;1;;;1;1;;
student_180;A;1;;1;1;;;;;1;1;1;;;;
student_181;B;1;1;;1;;;;;1;;;1;1;;
student_182;A;1;1;;;;;1;;1;1;1;;;;
student_183;B;1;1;;;1;;;;1;;;1;1;;
student_184;A;1;;;;;1;1;;1;1;1;;;;
student_185;B;1;;;1;;;;1;1;;;1;1;;
student_186;A;1;;1;;;;;1;1;1;1;;;;
student_187;B;1;;1;;;1;;;1;;;1;1;;
student_188;A;1;1;;;;;1;;1;1;1;;;;
student_189;C;1;;1;;;;1;;1;;;;;1;1
student_190;A;1;1;;;;1;;;1;1;1;;;;
student_191;B;1;;;;;1;1;;1;;;1;1;;
student_192;A;1;1;;;;;1;;1;1;1;;;;
student_193;A;1;1;;;;;;1;1;1;1;;;;
student_194;C;1;;;1;;;;1;1;;;;;1;1
student_195;A;1;;;;1;;1;;1;1;1;;;;
student_196;B;1;1;;1;;;;;1;;;1;1;;
student_197;A;1;1;;1;;;;;1;1;1;;;;
student_198;C;1;1;;;;;;1;1;;;;;1;1
student_199;C;1;;;;;1;;1;1;;;;;1;1
student_200;B;1;;1;;;;1;;1;;;1;1;;
